Year,Iowa,Minnesota,Nebraska
1924,12.0,,
1925,14.0,,
1926,15.0,,
1927,12.0,,
1928,17.0,,
1929,16.0,,
1930,15.5,,
1931,15.5,,
1932,18.0,,
1933,17.0,,
1934,11.5,15.0,
1935,16.5,14.0,
1936,14.0,12.0,
1937,18.5,14.0,
1938,21.0,15.0,12.0
1939,20.7,16.8,10.0
1940,20.0,15.0,14.0
1941,17.0,14.5,11.0
1942,19.5,13.0,15.0
1943,19.5,13.5,12.0
1944,20.3,15.4,17.8
1945,18.5,14.5,18.0
1946,23.0,17.5,21.0
1947,15.5,15.0,14.5
1948,22.5,18.0,23.0
1949,23.0,17.5,22.2
1950,22.0,15.5,24.0
1951,20.5,17.5,22.0
1952,25.5,19.0,26.0
1953,21.5,20.5,18.5
1954,26.5,21.5,21.5
1955,20.0,19.5,10.5
1956,20.0,20.0,11.5
1957,27.0,21.5,26.0
1958,25.5,17.5,29.0
1959,26.5,19.0,24.0
1960,25.5,19.5,28.0
1961,28.5,23.0,25.5
1962,27.5,19.5,27.0
1963,30.5,24.5,28.5
1964,28.5,20.0,22.0
1965,26.0,18.5,23.5
1966,29.5,24.0,29.5
1967,27.5,19.5,22.5
1968,32.0,22.0,23.5
1969,32.5,25.0,32.5
1970,32.5,26.0,22.0
1971,32.5,23.0,25.0
1972,36.0,28.0,32.5
1973,34.0,29.0,30.0
1974,28.0,22.0,24.5
1975,34.0,27.0,27.0
1976,31.0,22.0,20.0
1977,35.5,35.5,36.0
1978,37.5,36.0,34.0
1979,37.5,32.0,34.0
1980,38.5,31.5,30.0
1981,40.0,32.0,38.0
1982,36.5,35.0,35.0
1983,35.0,33.0,28.5
1984,31.5,33.0,26.0
1985,38.0,32.0,36.0
1986,41.5,35.0,38.0
1987,43.5,39.0,35.5
1988,31.0,26.0,30.0
1989,39.0,37.0,32.0
1990,41.5,39.0,34.5
1991,40.5,36.5,33.5
1992,44.0,32.0,42.0
1993,31.0,23.0,36.0
1994,50.5,40.0,47.0
1995,44.0,40.5,33.0
1996,44.0,38.0,45.0
1997,46.0,39.0,40.5
1998,48.0,42.0,44.0
1999,44.5,42.0,42.5
2000,43.5,41.0,38.0
2001,44.0,37.0,45.5
2002,48.0,43.5,38.5
2003,32.5,32.0,40.5
2004,49.0,33.0,46.0
2005,52.5,45.5,50.5
2006,50.5,44.5,50.0
2007,52.0,42.5,51.0
2008,46.5,38.0,46.5
2009,51.0,40.0,54.5
2010,51.0,45.0,52.5
2011,51.5,39.0,54.0
2012,45.0,43.5,41.5
2013,45.5,42.0,53.5
2014,51.0,41.5,54.0
2015,56.5,50.0,58.0
2016,60.0,52.0,61.0
2017,57.0,47.5,57.5
2018,56.0,49.0,58.0
2019,55.0,44.0,58.5
2020,54.0,52.0,60.0
